                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 3.6801,                 3.5343,                 4.0874,                0.00133,                0.28571,                0.00179,                0.00041,                 3.5926,                 4.3867,                 4.1517,             0.00049905,             0.00049905,             0.00049905
                     47,                 3.5338,                 3.8243,                 4.0606,                0.00133,                0.28571,                0.00179,                 0.0004,                 3.5917,                 4.3648,                 4.1481,             0.00050103,             0.00050103,             0.00050103
                     48,                 3.5273,                 3.7494,                 4.0408,                0.00133,                0.28571,                0.00179,                 0.0004,                 3.5917,                 4.3648,                 4.1481,             0.00050262,             0.00050262,             0.00050262
                     49,                 3.5778,                 3.9799,                 4.0543,                0.00133,                0.28571,                0.00181,                0.00043,                 3.5863,                 4.3736,                 4.1494,             0.00050381,             0.00050381,             0.00050381
                     50,                  3.442,                 3.8115,                 4.0522,                0.00133,                0.28571,                0.00181,                0.00043,                 3.5863,                 4.3736,                 4.1494,              0.0005046,              0.0005046,              0.0005046
                     51,                 3.1901,                 3.5818,                 3.9859,                0.00133,                0.28571,                0.00179,                0.00039,                 3.5827,                 4.3761,                 4.1489,               0.000505,               0.000505,               0.000505
                     52,                 3.5482,                 3.5051,                 3.9964,                0.00133,                0.28571,                0.00179,                0.00039,                 3.5827,                 4.3761,                 4.1489,               0.000505,               0.000505,               0.000505
                     53,                 3.4577,                 3.7209,                 4.0284,                0.00133,                0.28571,                0.00179,                0.00039,                 3.5827,                 4.3761,                 4.1489,             0.00050461,             0.00050461,             0.00050461
                     54,                 3.5633,                 3.6841,                  3.981,                0.00133,                0.28571,                0.00158,                0.00036,                 3.5824,                 4.3642,                 4.1483,             0.00050382,             0.00050382,             0.00050382
                     55,                 3.2118,                 3.4904,                 3.9672,                0.00133,                0.28571,                0.00158,                0.00036,                 3.5824,                 4.3642,                 4.1483,             0.00050263,             0.00050263,             0.00050263
                     56,                 3.2541,                 3.4941,                 3.9199,                0.00133,                0.28571,                0.00158,                0.00036,                 3.5824,                 4.3642,                 4.1483,             0.00050105,             0.00050105,             0.00050105
                     57,                 3.6297,                  3.884,                 4.0669,                0.00133,                0.28571,                0.00157,                0.00035,                 3.5915,                 4.3333,                 4.1504,             0.00049907,             0.00049907,             0.00049907
                     58,                 3.2365,                   3.43,                 3.9837,                0.00133,                0.28571,                0.00157,                0.00035,                 3.5915,                 4.3333,                 4.1504,              0.0004967,              0.0004967,              0.0004967
                     59,                 3.4623,                 3.5912,                 4.0201,                0.00133,                0.28571,                0.00157,                0.00035,                 3.5915,                 4.3333,                 4.1504,             0.00049393,             0.00049393,             0.00049393
                     60,                  3.024,                 3.7234,                 3.9071,                0.00133,                0.28571,                0.00155,                0.00036,                 3.5979,                 4.3044,                  4.152,             0.00049076,             0.00049076,             0.00049076
                     61,                 3.0834,                 3.6816,                 3.9217,                0.00133,                0.28571,                0.00155,                0.00036,                 3.5979,                 4.3044,                  4.152,              0.0004872,              0.0004872,              0.0004872
                     62,                 2.9404,                 3.9837,                 3.8668,                0.00133,                0.28571,                0.00155,                0.00036,                 3.5979,                 4.3044,                  4.152,             0.00048324,             0.00048324,             0.00048324
                     63,                 3.2624,                 3.8175,                  3.998,                0.00111,                 0.2381,                0.00154,                0.00034,                 3.5959,                 4.2963,                 4.1526,             0.00047889,             0.00047889,             0.00047889
                     64,                 2.9567,                 3.7761,                 3.8641,                0.00111,                 0.2381,                0.00154,                0.00034,                 3.5959,                 4.2963,                 4.1526,             0.00047414,             0.00047414,             0.00047414
                     65,                 3.4494,                 3.6493,                  3.958,                0.00111,                 0.2381,                0.00154,                0.00034,                 3.5959,                 4.2963,                 4.1526,             0.00046899,             0.00046899,             0.00046899
                     66,                 3.3926,                 3.7898,                 3.9992,                0.00111,                 0.2381,                0.00169,                0.00042,                 3.5893,                 4.2835,                 4.1551,             0.00046345,             0.00046345,             0.00046345
                     67,                 3.4615,                 3.4944,                 3.9614,                0.00111,                 0.2381,                0.00169,                0.00042,                 3.5893,                 4.2835,                 4.1551,             0.00045751,             0.00045751,             0.00045751
                     68,                 3.0688,                 3.6478,                 3.9258,                0.00111,                 0.2381,                0.00169,                0.00042,                 3.5893,                 4.2835,                 4.1551,             0.00045118,             0.00045118,             0.00045118
                     69,                 3.4193,                 3.5454,                  3.884,                0.00111,                 0.2381,                0.00173,                0.00041,                 3.5813,                 4.2732,                 4.1565,             0.00044445,             0.00044445,             0.00044445
                     70,                 3.2046,                 3.5081,                  3.944,                0.00111,                 0.2381,                0.00173,                0.00041,                 3.5813,                 4.2732,                 4.1565,             0.00043732,             0.00043732,             0.00043732
                     71,                 3.3287,                 3.5982,                 3.9809,                0.00111,                 0.2381,                0.00173,                0.00041,                 3.5813,                 4.2732,                 4.1565,              0.0004298,              0.0004298,              0.0004298
                     72,                 3.0994,                 3.4382,                 3.9157,                0.00133,                0.28571,                0.00243,                0.00046,                 3.5621,                 4.2778,                 4.1537,             0.00042188,             0.00042188,             0.00042188
                     73,                 3.3718,                 3.5665,                 3.9077,                0.00133,                0.28571,                0.00243,                0.00046,                 3.5621,                 4.2778,                 4.1537,             0.00041357,             0.00041357,             0.00041357
                     74,                   3.17,                 3.3171,                 3.7389,                0.00133,                0.28571,                0.00243,                0.00046,                 3.5621,                 4.2778,                 4.1537,             0.00040486,             0.00040486,             0.00040486
                     75,                 3.2385,                 3.8443,                 3.8691,                0.00133,                0.28571,                0.00192,                0.00047,                 3.5399,                 4.2831,                 4.1477,             0.00039575,             0.00039575,             0.00039575
                     76,                  3.411,                 3.3493,                 3.8253,                0.00133,                0.28571,                0.00192,                0.00047,                 3.5399,                 4.2831,                 4.1477,             0.00038625,             0.00038625,             0.00038625
                     77,                 3.1652,                 3.6631,                 3.8756,                0.00133,                0.28571,                0.00192,                0.00047,                 3.5399,                 4.2831,                 4.1477,             0.00037635,             0.00037635,             0.00037635
                     78,                 3.2766,                 3.6401,                 3.8567,                0.00133,                0.28571,                 0.0024,                0.00056,                 3.5269,                 4.2858,                 4.1447,             0.00036606,             0.00036606,             0.00036606
                     79,                 3.1089,                 3.4818,                 3.8952,                0.00133,                0.28571,                 0.0024,                0.00056,                 3.5269,                 4.2858,                 4.1447,             0.00035537,             0.00035537,             0.00035537
